<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,5,20240419,204000,147.41,147.63,147.32,147.62,75491,0
JNJ.US,5,20240419,204500,147.625,147.65,147.4,147.56,78793,0
JNJ.US,5,20240419,205000,147.56,147.57,147.39,147.45,62431,0
JNJ.US,5,20240419,205500,147.44,147.55,147.31,147.46,104997,0
JNJ.US,5,20240419,210000,147.47,147.64,147.47,147.56,62205,0
JNJ.US,5,20240419,210500,147.56,147.56,147.38,147.42,80951,0
JNJ.US,5,20240419,211000,147.42,147.44,147.37,147.4,92741,0
JNJ.US,5,20240419,211500,147.4,147.49,147.31,147.48,65379,0
JNJ.US,5,20240419,212000,147.49,147.55,147.46,147.47,55585,0
JNJ.US,5,20240419,212500,147.465,147.67,147.45,147.58,57446,0
JNJ.US,5,20240419,213000,147.575,147.65,147.48,147.64,137596,0
JNJ.US,5,20240419,213500,147.64,147.7599,147.42,147.63,87328,0
JNJ.US,5,20240419,214000,147.62,147.75,147.56,147.7083,73244,0
JNJ.US,5,20240419,214500,147.71,147.91,147.66,147.805,138941,0
JNJ.US,5,20240419,215000,147.805,147.87,147.72,147.83,177452,0
JNJ.US,5,20240419,215500,147.8295,148.13,147.75,147.91,581446,0
JNJ.US,5,20240422,153000,148.51,148.51,147.93,148.21,200729,0
JNJ.US,5,20240422,153500,148.24,148.25,147.6,147.65,46642,0
JNJ.US,5,20240422,154000,147.6106,147.8,147.48,147.71,53061,0
JNJ.US,5,20240422,154500,147.67,147.73,147.38,147.39,110376,0
JNJ.US,5,20240422,155000,147.39,147.8,147.3,147.8,104890,0
JNJ.US,5,20240422,155500,147.8,148.06,147.78,148.01,92709,0
JNJ.US,5,20240422,160000,147.995,148.15,147.93,148.1099,40429,0
JNJ.US,5,20240422,160500,148.11,148.54,148.095,148.51,62428,0
JNJ.US,5,20240422,161000,148.52,148.53,148.34,148.49,45371,0
JNJ.US,5,20240422,161500,148.48,148.51,148.26,148.51,66960,0
JNJ.US,5,20240422,162000,148.51,148.815,148.43,148.8,58010,0
JNJ.US,5,20240422,162500,148.82,148.89,148.76,148.81,36854,0
JNJ.US,5,20240422,163000,148.79,148.98,148.71,148.95,80081,0
JNJ.US,5,20240422,163500,148.955,149.21,148.9,149.19,72139,0
JNJ.US,5,20240422,164000,149.185,149.19,148.8,148.965,106153,0
JNJ.US,5,20240422,164500,148.95,149.09,148.89,149.05,59034,0
JNJ.US,5,20240422,165000,149.05,149.33,149.04,149.17,44083,0
JNJ.US,5,20240422,165500,149.185,149.35,149.13,149.21,40638,0
JNJ.US,5,20240422,170000,149.19,149.27,149.1161,149.17,38821,0
JNJ.US,5,20240422,170500,149.18,149.24,149.11,149.15,41341,0
